AssocLeftAsset,AssocLeftField,AssocName,AssocRightField,AssocRightAsset
Hardware,hostHardware,SysExecution,sysExecutedApps,Application
PhysicalZone,physicalZones,ZoneInclusion,hardwareSystems,Hardware
Data,hostedData,DataHosting,hardware,Hardware
User,users,HardwareAccess,hardwareSystems,Hardware
HardwareVulnerability,vulnerabilities,hardwareVulnerability,hardware,Hardware
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Information,infoDependedUpon,Dependence,dependentApps,Application
SoftwareProduct,appSoftProduct,AppSoftwareProduct,softApplications,Application
SoftwareVulnerability,softProductVulnerabilities,ApplicationVulnerability,softwareProduct,SoftwareProduct
Hardware,hostHardware,SysExecution,sysExecutedApps,Application
Information,infoDependedUpon,Dependence,dependentApps,Application
SoftwareProduct,appSoftProduct,AppSoftwareProduct,softApplications,Application
Application,hostApp,AppExecution,appExecutedApps,Application
IDPS,protectorIDPSs,AppProtection,protectedApps,Application
Data,containedData,AppContainment,containingApp,Application
Data,sentData,SendData,senderApp,Application
Data,receivedData,ReceiveData,receiverApp,Application
Data,dataDependedUpon,Dependence,dependentApps,Application
IAMObject,executionPrivIAMs,ExecutionPrivilegeAccess,execPrivApps,Application
IAMObject,highPrivAppIAMs,HighPrivilegeApplicationAccess,highPrivApps,Application
IAMObject,lowPrivAppIAMs,LowPrivilegeApplicationAccess,lowPrivApps,Application
RoutingFirewall,managedRoutingFw,ManagedBy,managerApp,Application
Network,networks,NetworkExposure,applications,Application
Application,applications,ApplicationConnection,appConnections,ConnectionRule
Application,inApplications,InApplicationConnection,ingoingAppConnections,ConnectionRule
Application,outApplications,OutApplicationConnection,outgoingAppConnections,ConnectionRule
SoftwareVulnerability,vulnerabilities,ApplicationVulnerability,application,Application
Hardware,hostHardware,SysExecution,sysExecutedApps,Application
Information,infoDependedUpon,Dependence,dependentApps,Application
SoftwareProduct,appSoftProduct,AppSoftwareProduct,softApplications,Application
Application,hostApp,AppExecution,appExecutedApps,Application
IDPS,protectorIDPSs,AppProtection,protectedApps,Application
Data,containedData,AppContainment,containingApp,Application
Data,sentData,SendData,senderApp,Application
Data,receivedData,ReceiveData,receiverApp,Application
Data,dataDependedUpon,Dependence,dependentApps,Application
IAMObject,executionPrivIAMs,ExecutionPrivilegeAccess,execPrivApps,Application
IAMObject,highPrivAppIAMs,HighPrivilegeApplicationAccess,highPrivApps,Application
IAMObject,lowPrivAppIAMs,LowPrivilegeApplicationAccess,lowPrivApps,Application
RoutingFirewall,managedRoutingFw,ManagedBy,managerApp,Application
Network,networks,NetworkExposure,applications,Application
Application,applications,ApplicationConnection,appConnections,ConnectionRule
Application,inApplications,InApplicationConnection,ingoingAppConnections,ConnectionRule
Application,outApplications,OutApplicationConnection,outgoingAppConnections,ConnectionRule
SoftwareVulnerability,vulnerabilities,ApplicationVulnerability,application,Application
PhysicalZone,physicalZones,ZoneInclusion,hardwareSystems,Hardware
PhysicalZone,physicalZones,ZoneInclusion,networks,Network
User,users,ZoneAccess,physicalZones,PhysicalZone
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Information,infoDependedUpon,Dependence,dependentApps,Application
Data,hostedData,DataHosting,hardware,Hardware
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Data,containedData,AppContainment,containingApp,Application
Data,sentData,SendData,senderApp,Application
Data,receivedData,ReceiveData,receiverApp,Application
Data,dataDependedUpon,Dependence,dependentApps,Application
Data,containingData,DataContainment,containedData,Data
Data,transitData,DataInTransit,transitNetwork,Network
Credentials,encryptCreds,EncryptionCredentials,encryptedData,Data
Credentials,signingCreds,SigningCredentials,signedData,Data
IAMObject,readingIAMs,ReadPrivileges,readPrivData,Data
IAMObject,writingIAMs,WritePrivileges,writePrivData,Data
IAMObject,deletingIAMs,DeletePrivileges,deletePrivData,Data
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Information,infoDependedUpon,Dependence,dependentApps,Application
IAMObject,executionPrivIAMs,ExecutionPrivilegeAccess,execPrivApps,Application
IAMObject,highPrivAppIAMs,HighPrivilegeApplicationAccess,highPrivApps,Application
IAMObject,lowPrivAppIAMs,LowPrivilegeApplicationAccess,lowPrivApps,Application
IAMObject,readingIAMs,ReadPrivileges,readPrivData,Data
IAMObject,writingIAMs,WritePrivileges,writePrivData,Data
IAMObject,deletingIAMs,DeletePrivileges,deletePrivData,Data
IAMObject,IAMOwners,HasPrivileges,subprivileges,Privileges
IAMObject,managers,AccountManagement,managedIAMs,IAMObject
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Information,infoDependedUpon,Dependence,dependentApps,Application
IAMObject,executionPrivIAMs,ExecutionPrivilegeAccess,execPrivApps,Application
IAMObject,highPrivAppIAMs,HighPrivilegeApplicationAccess,highPrivApps,Application
IAMObject,lowPrivAppIAMs,LowPrivilegeApplicationAccess,lowPrivApps,Application
IAMObject,readingIAMs,ReadPrivileges,readPrivData,Data
IAMObject,writingIAMs,WritePrivileges,writePrivData,Data
IAMObject,deletingIAMs,DeletePrivileges,deletePrivData,Data
IAMObject,IAMOwners,HasPrivileges,subprivileges,Privileges
IAMObject,managers,AccountManagement,managedIAMs,IAMObject
Identity,identities,IdentityCredentials,credentials,Credentials
Identity,parentId,CanAssume,childId,Identity
Group,memberOf,MemberOf,groupIds,Identity
User,users,UserAssignedIdentities,userIds,Identity
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Information,infoDependedUpon,Dependence,dependentApps,Application
IAMObject,executionPrivIAMs,ExecutionPrivilegeAccess,execPrivApps,Application
IAMObject,highPrivAppIAMs,HighPrivilegeApplicationAccess,highPrivApps,Application
IAMObject,lowPrivAppIAMs,LowPrivilegeApplicationAccess,lowPrivApps,Application
IAMObject,readingIAMs,ReadPrivileges,readPrivData,Data
IAMObject,writingIAMs,WritePrivileges,writePrivData,Data
IAMObject,deletingIAMs,DeletePrivileges,deletePrivData,Data
IAMObject,IAMOwners,HasPrivileges,subprivileges,Privileges
IAMObject,managers,AccountManagement,managedIAMs,IAMObject
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Information,infoDependedUpon,Dependence,dependentApps,Application
IAMObject,executionPrivIAMs,ExecutionPrivilegeAccess,execPrivApps,Application
IAMObject,highPrivAppIAMs,HighPrivilegeApplicationAccess,highPrivApps,Application
IAMObject,lowPrivAppIAMs,LowPrivilegeApplicationAccess,lowPrivApps,Application
IAMObject,readingIAMs,ReadPrivileges,readPrivData,Data
IAMObject,writingIAMs,WritePrivileges,writePrivData,Data
IAMObject,deletingIAMs,DeletePrivileges,deletePrivData,Data
IAMObject,IAMOwners,HasPrivileges,subprivileges,Privileges
IAMObject,managers,AccountManagement,managedIAMs,IAMObject
Group,memberOf,MemberOf,groupIds,Identity
Group,parentGroup,MemberOf,childGroups,Group
Data,containerData,InfoContainment,information,Information
Data,dataReplicas,Replica,replicatedInformation,Information
Information,infoDependedUpon,Dependence,dependentApps,Application
Credentials,encryptCreds,EncryptionCredentials,encryptedData,Data
Credentials,signingCreds,SigningCredentials,signedData,Data
Identity,identities,IdentityCredentials,credentials,Credentials
Credentials,hashes,HashedCredentials,origCreds,Credentials
Credentials,credentials,ConditionalAuthentication,requiredFactors,Credentials
User,users,HardwareAccess,hardwareSystems,Hardware
User,users,ZoneAccess,physicalZones,PhysicalZone
User,users,UserAssignedIdentities,userIds,Identity
Network,networks,NetworkExposure,applications,Application
PhysicalZone,physicalZones,ZoneInclusion,networks,Network
Data,transitData,DataInTransit,transitNetwork,Network
Network,networks,NetworkConnection,netConnections,ConnectionRule
Network,inNetworks,InNetworkConnection,ingoingNetConnections,ConnectionRule
Network,outNetworks,OutNetworkConnection,outgoingNetConnections,ConnectionRule
Network,diodeInNetworks,DiodeInNetworkConnection,diodeIngoingNetConnections,ConnectionRule
Hardware,hostHardware,SysExecution,sysExecutedApps,Application
Information,infoDependedUpon,Dependence,dependentApps,Application
SoftwareProduct,appSoftProduct,AppSoftwareProduct,softApplications,Application
Application,hostApp,AppExecution,appExecutedApps,Application
IDPS,protectorIDPSs,AppProtection,protectedApps,Application
Data,containedData,AppContainment,containingApp,Application
Data,sentData,SendData,senderApp,Application
Data,receivedData,ReceiveData,receiverApp,Application
Data,dataDependedUpon,Dependence,dependentApps,Application
IAMObject,executionPrivIAMs,ExecutionPrivilegeAccess,execPrivApps,Application
IAMObject,highPrivAppIAMs,HighPrivilegeApplicationAccess,highPrivApps,Application
IAMObject,lowPrivAppIAMs,LowPrivilegeApplicationAccess,lowPrivApps,Application
RoutingFirewall,managedRoutingFw,ManagedBy,managerApp,Application
Network,networks,NetworkExposure,applications,Application
Application,applications,ApplicationConnection,appConnections,ConnectionRule
Application,inApplications,InApplicationConnection,ingoingAppConnections,ConnectionRule
Application,outApplications,OutApplicationConnection,outgoingAppConnections,ConnectionRule
SoftwareVulnerability,vulnerabilities,ApplicationVulnerability,application,Application
RoutingFirewall,routingFirewalls,FirewallConnectionRule,connectionRules,ConnectionRule
Application,applications,ApplicationConnection,appConnections,ConnectionRule
Application,inApplications,InApplicationConnection,ingoingAppConnections,ConnectionRule
Application,outApplications,OutApplicationConnection,outgoingAppConnections,ConnectionRule
Network,networks,NetworkConnection,netConnections,ConnectionRule
Network,inNetworks,InNetworkConnection,ingoingNetConnections,ConnectionRule
Network,outNetworks,OutNetworkConnection,outgoingNetConnections,ConnectionRule
Network,diodeInNetworks,DiodeInNetworkConnection,diodeIngoingNetConnections,ConnectionRule
RoutingFirewall,routingFirewalls,FirewallConnectionRule,connectionRules,ConnectionRule
SoftwareVulnerability,softProductVulnerabilities,ApplicationVulnerability,softwareProduct,SoftwareProduct
SoftwareVulnerability,vulnerabilities,ApplicationVulnerability,application,Application
HardwareVulnerability,vulnerabilities,hardwareVulnerability,hardware,Hardware
